PLAYERS,,,,,,,,Game Info,,,,,,,,,,,DEFENSES,,,,,ACTIONS MASTER,,,,,,,,,,,,,,,,,,,,,,,OVERALL ACTION CATEGORIES,,,,,,,,,,,GAME TAB LOCATIONS,,,,,,,,,,DEFENSIVE GAME TOTALS,,,,,DEFENSIVE PLAYER GAME TOTALS,,,,,,,,,,,,ACTION GAME TOTALS,,,,,,,,,,,ACTION CATEGORY TOTALS,,,,,,,,,,,,ACTION CATEGORY VALUE TOTALS,,,,,,,,,,,,,,,,,,,,,,PLAYER DEFENSIVE ACTION TOTALS,,,,,,,,,,,,,,,,,,,,,,,PLAYER DEFENSIVE ACTION VALUE TOTALS,,,,,,,,,,,,,,,,,,,,,,,,PLAYER ACTION TOTALS,,,,,,,,,,,,,,,,,,,,,,,,PLAYER ACTION VALUE TOTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scoring Ranges,,,,,SEASON TOTAL STATS,OVERALL,SUMMARY,,,,,,,,,MAN,SUMMARY,,,,,,,,,50,SUMMARY,,,,,,,,,32,SUMMARY,,,,,,,,,21,SUMMARY,,,,,,,,PER GAME STATS,OVERALL,SUMMARY,,,,,,,,,MAN,SUMMARY,,,,,,,,,50,SUMMARY,,,,,,,,,32,SUMMARY,,,,,,,,,21,SUMMARY,,,,,,,,,PLAYER DEFENSIVE ACTION PER-GAME AVERAGES,,,,,,,,,,,,,,,,,,,,,,,,ACTION CATEGORY PER GAME STATS,,,,,,,,,,,,PLAYER ACTION PER GAME STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey #,Player Name,# Player Name,Position,Role,,,,Game #,Date,Time,Opponent,Location,Tab Name,SAC Score,OPP Score,,,,Name,Type,,,,Action,Category,Score,Man,50,32,21,,,,,,,Man,50,32,21,,,,,,,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,,,,Defense,Section Type,Label / Category / Action,Header Range,Data Range,Column(s),Notes,,,,Defense,Total Games,,,,Player,Overall,Man,50,32,21,,,,,,,Action,Man,50,32,21,,,,,,,Player,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,,,,Player,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,Positive Total,Negative Total,Net Performance,Positive %,Negative %,Net Efficiency %,Pos/Neg Ratio,Sum Of Absolute Values,,,,,,Action,Defense,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,Per-Game Average,,Action,Defense,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,,,,Action,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,Defensive Breakdown % of Net,Team Value Totals,,,Action,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,Team Value Totals,Defensive Breakdown % of Net,Sum Of Absolute Values,,,Per-Game Averages ,,,,PPM Range,Label,Impact,,,,Player,Games Played,Minutes Played,Positive Total,Negative Total,Net Performance,PPM,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Minutes Played,Positive Total,Negative Total,Net Performance,PPM,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Action,Defense,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,Per-Game Averages,,,,Player,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,,,,Action,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,,,,Player,Block,Charge,Contested Shot,Audible,Good Foul,Jump Ball,No Ball In Paint,Post Shift,Rebound,Rotation Help,Steal,PNR Trap,Successful Trap,Tip,Top Rotation,Bad Foul,Failed Audible,Middle Drive,Missed PNR Trap,Missed REB Duty,Missed Rotation,Missed Trap,No Shot Contest,No Front (High),No Front (Low),Same Side Help,Scored On
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Main Header,50,A34:B34,A34:B34,A–B,Displays “50” defense name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jump Ball,50,2,3,2,,1,,2,,,,1,,,,,,,,11,1.4,,Jump Ball,50,4,6,4,,2,,4,,,,2,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jump Ball,50,0.3,0.4,0.3,,0.1,,0.3,,,,0.1,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Player,A35,A36:A47,A,Player names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rebound,50,1,6,3,,4,,1,,1,,2,3,,,,,,,21,3.4,,Rebound,50,2,12,6,,8,,2,,2,,4,6,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rebound,50,0.1,0.8,0.4,,0.5,,0.1,,0.5,,0.3,0.8,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Possessions,B35,B36:B47,B,Possessions logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotation Help,50,59,49,59,20,54,,23,,6,1,85,18,,,,,,,374,56.1,,Rotation Help,50,59,49,59,20,54,,23,,6,1,85,18,,,,,,,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotation Help,50,8.4,6.1,7.4,5.0,6.8,,3.3,,3.0,1.0,10.6,4.5,,,,,,,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Positive Total,C35,C36:C47,C,Positive outcomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steal,50,7,3,5,,1,,2,,,,5,1,,,,,,,24,3.3,,Steal,50,21,9,15,,3,,6,,,,15,3,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steal,50,1.0,0.4,0.6,,0.1,,0.3,,,,0.6,0.3,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Negative Total,D35,D36:D47,D,Negative outcomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Successful Trap,50,36,43,12,4,22,,16,,4,,31,5,,,,,,,173,25.2,,Successful Trap,50,72,86,24,8,44,,32,,8,,62,10,,,,,,,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Successful Trap,50,5.1,5.4,1.5,1.0,2.8,,2.3,,2.0,,3.9,1.3,,,,,,,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Net Performance,E35,E36:E47,E,Positives minus negatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tip,50,13,9,5,4,12,,4,,2,,14,3,,,,,,,66,10.2,,Tip,50,13,9,5,4,12,,4,,2,,14,3,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tip,50,1.9,1.1,0.6,1.0,1.5,,0.6,,1.0,,1.8,0.8,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,PPP,F35,F36:F47,F,Points per possession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Foul,50,1,1,2,2,2,,,,,,5,,,,,,,,13,1.9,,Bad Foul,50,-1,-1,-2,-2,-2,,,,,,-5,,,,,,,,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Foul,50,0.1,0.1,0.3,0.5,0.3,,,,,,0.6,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,PPP +/- vs. Season Avg,G35,G36:G47,G,Compared to season average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed Audible,50,,,,,,,,,,,,,,,,,,,,,,Failed Audible,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed Audible,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Tip,H35,H36:H47,H,Deflection / tip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Drive,50,,,,2,1,,,,,,1,,,,,,,,4,0.8,,Middle Drive,50,,,,-4,-2,,,,,,-2,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Drive,50,,,,0.5,0.1,,,,,,0.1,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Steal,I35,I36:I47,I,Steal recorded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed REB Duty,50,,2,4,3,5,,,,,,3,,,,,,,,17,2.5,,Missed REB Duty,50,,-4,-8,-6,-10,,,,,,-6,,,,,,,,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed REB Duty,50,,0.3,0.5,0.8,0.6,,,,,,0.4,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Block,J35,J36:J47,J,Blocked shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed Rotation,50,9,11,16,7,11,,5,,,,6,5,,,,,,,70,10.5,,Missed Rotation,50,-18,-22,-32,-14,-22,,-10,,,,-12,-10,,,,,,,-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed Rotation,50,1.3,1.4,2.0,1.8,1.4,,0.7,,,,0.8,1.3,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Rebound,K35,K36:K47,K,Defensive rebound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed Trap,50,10,10,1,,4,,7,,,,4,,,,,,,,36,4.8,,Missed Trap,50,-20,-20,-2,,-8,,-14,,,,-8,,,,,,,,-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed Trap,50,1.4,1.3,0.1,,0.5,,1.0,,,,0.5,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Rotation Help,L35,L36:L47,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot Contest,50,4,3,6,4,2,,2,,,,4,4,,,,,,,29,4.7,,No Shot Contest,50,-8,-6,-12,-8,-4,,-4,,,,-8,-8,,,,,,,-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot Contest,50,0.6,0.4,0.8,1.0,0.3,,0.3,,,,0.5,1.0,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Successful Trap,M35,M36:M47,M,Contested shot forced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Same Side Help,50,,,,,,,,,,,2,,,,,,,,2,0.3,,Same Side Help,50,,,,,,,,,,,-4,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Same Side Help,50,,,,,,,,,,,0.3,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Contested Shot,N35,N36:N47,N,Jump ball or tie-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scored On,50,4,1,4,4,1,,,,,,4,2,,,,,,,20,3.3,,Scored On,50,-12,-3,-12,-12,-3,,,,,,-12,-6,,,,,,,-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scored On,50,0.6,0.1,0.5,1.0,0.1,,,,,,0.5,0.5,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Jump Ball,O35,O36:O47,O,Smart / non-shooting foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Block,Man,2,3,2,1,7,,1,2,8,1,19,1,,,,,,,47,2.9,,Block,Man,4,6,4,2,14,,2,4,16,2,38,2,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Block,Man,0.1,0.2,0.1,0.1,0.4,,0.1,0.2,0.7,0.1,1.0,0.1,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Good Foul,P35,P36:P47,P,Offensive charge taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charge,Man,,1,2,1,,,4,,,,,,,,,,,,8,0.4,,Charge,Man,,4,8,4,,,16,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charge,Man,,0.1,0.1,0.1,,,0.2,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Charge,Q35,Q36:Q47,Q,Defensive communication executed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contested Shot,Man,74,39,68,19,95,2,43,9,21,7,96,38,,,,,,,511,29.0,,Contested Shot,Man,148,78,136,38,190,4,86,18,42,14,192,76,,,,,,,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contested Shot,Man,4.1,2.0,3.4,1.3,4.8,1.0,2.2,0.9,1.9,0.8,4.8,2.0,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Audible,R35,R36:R47,R,Drive allowed through middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audible,Man,2,3,6,,1,,1,,,,,4,,,,,,,17,0.9,,Audible,Man,2,3,6,,1,,1,,,,,4,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audible,Man,0.1,0.2,0.3,,0.1,,0.1,,,,,0.2,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Middle Drive,S35,S36:S47,S,Missed rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good Foul,Man,15,8,11,2,3,,10,2,5,,16,5,,,,,,,77,4.3,,Good Foul,Man,15,8,11,2,3,,10,2,5,,16,5,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good Foul,Man,0.8,0.4,0.6,0.1,0.2,,0.5,0.2,0.5,,0.8,0.3,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Missed Rotation,T35,T36:T47,T,Failed trap coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jump Ball,Man,4,5,2,3,5,,4,2,2,,9,,,,,,,,36,2.1,,Jump Ball,Man,8,10,4,6,10,,8,4,4,,18,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jump Ball,Man,0.2,0.3,0.1,0.2,0.3,,0.2,0.2,0.2,,0.5,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
